,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
"Ноутбук GF63 Thin 11UD-254XRU 15.6""/ i5-11400H /8/256Гб",72 897 ₽,"15.6 """,256 Гб,8,6,документация; адаптер питания; ноутбук,51 Вт*ч,1.86 кг,DOS
"Ноутбук MSI Modern 14 14"" 16Gb/512SSD/DOS(9S7-14J112 -267)",84 020 ₽,14,512,16 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.4 кг,Без системы
"Ноутбук HP 15s-fq5025ny 15.6""i5-1235U/8Gb/512Gb/DOS(737U0EA)",58 920 ₽,15.6,512,8 ГБ,10,"Ноутбук, блок питания, документация",,1.74 кг,Без системы
"Ноутбук AZ-1601 16""/4x2.0GHz/16Gb/256Gb",27 265 ₽,"16""",256 Гб,16 ГБ,4,"ноутбук, блок питания",4400 mAh,1.9 кг,Windows
Ноутбук Lenovo IdeaPad 1 14IGL05,20 907 ₽,"14""",128 Гб,4 ГБ,2,,,,Windows 11 Домашняя 64
Ноутбук Asus Zenbook UM3402YA-KP313W [90NB0W95-M00KR0],67 559 ₽,"14""",512 Гб,16,6,,,,Windows
Ноутбук Xiaomi RedmiBook 15 JYU4525RU,41 969 ₽,"15.6""",256 Гб,8 ГБ,2,документация; зарядное устройство; Ноутбук - 1шт.,,1.8 кг,Microsoft Windows 11
"Ноутбук HP ProBook 445 G8 Pike 14"" 5800U/8Gb/512Gb(59R92EA)",96 570 ₽,14,512,8 ГБ,8,"Ноутбук, блок питания, документация",,1.37 кг,Windows Pro
Ноутбук Asus Vivobook Pro15 M6500QC-HN058 [90NB0YN1-M004T0],65 755 ₽,"15.6""",512 Гб,16,6,,,,noOS
Ноутбук Acer Swift 3 SF314-511-521L (NX.ABNER.007),75 586 ₽,"14""",512 гб,8 гб,4,Ноутбук; блок питания; документация,3200 мАч,1.2 кг,Windows 11 Домашняя
Ноутбук HIPER EXPERTBOOK C53QHD0A,76 200 ₽,"15,6",256 Гб,8 ГБ,8,ноутбук; зарядное устройство; документация,4800 мА*ч,1.7 кг,Без ОС
Apple MacBook Pro 14/M1 Pro/16/1 (Space Grey),187 492 ₽,"14.2""",1 Тб,16ГБ,10,документация; ноутбук; адаптер питания (US),,,macOS
Ноутбук lenovo 81VU00H3RU(Celeron/14/128Гб/4Гб/UMA/W11),19 166 ₽,"14""",128 Гб,4,,,,,Windows 11 Home
"Ноутбук HP 840 G9 /8DDR5/256SSD/14.0""FHD IPS/Win11Pro",99 900 ₽,14,256,8,10,"Ноутбук, зарядное устройство, документация",51 Wh,1.7 кг,Windows 11 Pro
MagicBook 15 AMD Ryzen 5 5500U 8Gb,57 399 ₽,15.6'',512 Гб,8 ГБ,6,Ноутбук MagicBook 15 AMD Ryzen 5 - 1 шт. зарядное устройство - 1 шт.,7330 мА*ч,1.5 кг,Windows 10 Home
Inbook X2 Plus-11th XL25/15/Core-i7/16GB/512GB,60 159 ₽,"15""",512 Гб,16 ГБ,2,,50 Wh,,Windows
Ноутбук M543,34 969 ₽,"15.6""",512 Гб,8 ГБ,4,"адаптер питания, документация",4440; 4440 мАч,1.75 кг,noOS
"Ноутбук TECNO T1/ i3 12/256GB/15.6""/ Linux/ Space Grey",33 990 ₽,15.6,256 Гб,12 ГБ,2,,,,Linux
"Ноутбук 15.6"" Z7T-DA5NP",75 255 ₽,"15.6""",512 Гб,16 ГБ,12,документация,,2.2 кг,noOS
Ноутбук Lenovo V15-ITL Gen2 82KB0038RU,64 155 ₽,"15.6""",512 гб,8 гб,4,Ноутбук; зарядное устройство; документация,,1.7 кг,DOS
"Ноутбук MSI Modern 15 15"" i7/512SSD/W11Pro (9S7-15H112 -235)",98 260 ₽,15.6,512,16 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.7 кг,Windows Pro
Игровой ноутбук Dell G15 5511-378850,160 347 ₽,"15.6; 15.6 ""; 15.6 дюйм",512; 512 Гб; 512 GB,8 ГБ; 8; 8 GB,6 ядер; 6 шт; 6,Ноутбук - 1 шт; Игровой ноутбук,,2.65 кг,
"Игровой Ноутбук ROG Zephyrus G15 15.6"" R9/16ГБ/1ТБ/3080",233 966 ₽,"15,6",1 Тб,16,8,документация; адаптер питания; ноутбук,90 Вт·ч,1.9 кг,Без операционной системы
"Ноутбук MSI Modern 14 14""FHD IPS i5/8Gb/512SSD/W11",58 820 ₽,14,512,8 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.4 кг,Windows Home
Ноутбук Hiper OFFICE SP MTL1733B1165W11H,97 185 ₽,"17.3""",512 гб,16 гб,4,ноутбук; зарядное устройство; документация,4000 мАч,2 кг,Windows 11 Home
"Ноутбук M6500QH-HN038 15,6"" AMD Ryzen 5 5600H",71 816 ₽,15.6,512 Гб,16 ГБ,6,"Ноутбук, кабель, документация",50 Вт/ч,1.8 кг,Без системы
Ноутбук Lenovo Legion 5 Pro 16ACH6H WQXGA (82RG0099RK),121 536 ₽,"16""",1 Тб,16,8,,,,noOS
"Ноутбук HP 240 G8 Intel Core i3-1005G1/8Gb/SSD256Gb/14""/IPS/FHD/Win10/Dar Silver",41 107 ₽,14,256 Гб,8,2,Ноутбук - 1 шт,,1.47 кг,Windows 10 Pro
Ноутбук Lenovo L3 15ITL6,45 926 ₽,15.6,512 Гб,8,2,"Ноутбук, документация, адаптер питания с кабелем, диск с ПО (опция)",36 Вт*час,2.2 кг,Windows 10 Home
"Ноутбук HP 255 G8 15.6"" Ryzen 5 5500U/8Gb/256Gb SSD/W11",71 310 ₽,15.6,256,8 Гб,6,"Ноутбук, блок питания",,1.74 кг,Без системы
Игровой Ноутбук ROG Zephyrus M16 16' i9 16ГБ/1ТБ RTX 3060,174 823 ₽,16,1 Тб,16,14,документация; адаптер питания; ноутбук,90 Вт·ч,1.9 кг,Без операционной системы
"15"" Ноутбук Lenovo IdeaPad 3 Ryzen 5 4500U 4ГБ SSD 256ГБ W10",42 870 ₽,"15.6""",256 Гб,4,6,"ноутбук, документация, адаптер питания",,1.7 кг,Windows Home
"Игровой ноутбук ROG STRIX SCAR 15 G533ZX-LN087W 15.6""",282 905 ₽,15.6,1024 Гб,32 ГБ,14,"Ноутбук, блок питания, шнур питания",90 Вт/ч,2.3 кг,Windows Home
Ноутбук Asus VivoBook 15 X513EA-BQ1916,87 169 ₽,"15.6 """,256 Гб,8,4,Ноутбук - 1 шт,,1.8 кг,Endless OS
"Игровой ноутбук 17,3"" intel core i5-12500h, RTX 3050 4gb",99 990 ₽,17.3,512,16 ГБ,12,"Ноутбук, зарядное устройство",,2.52 кг,Без ОС
Ноутбук Lenovo IP L3 15ITL6,33 014 ₽,15.6,0,4,2,"Ноутбук, документация, адаптер питания с кабелем",36 Вт*час,2.2 кг,нет
Ноутбук Acer Aspire 3 A315-23-R5J5 [NX.HVTER.01U]/15.6/noOS,24 930 ₽,"15,6""",500 Гб,4 ГБ,4,,,,noOS
Ноутбук Hiper OFFICE SP MTL1733A1165W11H,94 827 ₽,"17.3""",512 гб,8 гб,4,ноутбук; зарядное устройство; документация,4000 мАч,2 кг,Windows 11 Home
Ноутбук MateBook D14 NbDE-WDH9 (53013NYY),49 990 ₽,"14""",512 Гб,8,4,Блок питания; инструкция,,1.38 кг,Windows 11 Home
Infinix Inbook X2/14/Core-i3 1005G1/4G/256G,28 803 ₽,"14""",256 Gb,4,2,гарантийный талон; Краткое руководство пользователя; Зарядный кабель USB-C,4330mAh,1.24 кг,Без ОС
Ноутбук Lenovo IdeaPad 3 i5 1235U/16ГБ/512SSD/15.6/DOS,60 293 ₽,"15.6""",512 Гб,16; 16 гб,10,,,,DOS; не установлено; noOS
"Игровой Ноутбук TUF Dash F15 15.6"" 16/512ГБ/3050/DOS",120 148 ₽,15.6,512,16,10,документация; адаптер питания; ноутбуки,76 Вт·ч,2 кг,Без операционной системы
Ноутбук Vector GP66 12UGSO-671RU Black,176 990 ₽,"15.6""",1024 Гб,16 ГБ,14,Ноутбук MSI; блок питания; аккумулятор; инструкция,65 Втч,2.38 кг,Windows
Ноутбук Acer Aspire 7 A715-51G [NH.QHUER.003],64 253 ₽,"15.6""",512 Гб,16,4,,,,noOS
"Ноутбук ACER TravelMate P2 Core i7-1165G7/16Gb/SSD512Gb/15.6""/IPS/FHD/Win10Pro/black",93 923 ₽,15.6,512 Гб,16 ГБ,4,Ноутбук - 1 шт,,1.8 кг,Windows 10 Pro
Ноутбук Lenovo 15.6/8/512(82KD00DECD.RU),59 130 ₽,15.6,512,8 ГБ,6,"Ноутбук, блок питания, документация",,1.7 кг,Windows Home
Ноутбук Machenike L15-i512450H30504GF,70 669 ₽,"15.6""",512 ГБ,8 ГБ,8,"документация, адаптер питания",53.35 Вт*ч,2.2 кг,noOS
"Ноутбук 90NB0U44-M02770 14"", Intel Core i5-11300H",106 438 ₽,14,512 Гб,8 ГБ,4,"Ноутбук, зарядное устройство, документация",63 Вт/ч,1.45 кг,Windows Home
Ноутбук Acer Swift 3 SF314-511-5539 NX.ABLER.00Q,71 014 ₽,"14""",512 гб,8 гб,4,Ноутбук; документация,,1.2 кг,Windows 11 Home
"Ноутбук Vivobook Pro 14 8 ГБ, 512 ГБ SSD W11",70 718 ₽,14,512 Гб,8,6,"документация, адаптер питания; ноутбук",63 Вт*ч,1.4 кг,Windows
"Ноутбук Azerty AZ-1505 15.6""/4x2.0GHz/12Gb/1Tb",28 025 ₽,"15.6""",1 Тб,12 ГБ,4,"ноутбук, блок питания",5000 mAh,,Windows
Lenovo V15-IIL,52 500 ₽,"15,6""",128 GB,8,4 ядра,зарядное устройство; ноутбук,35 Вт-ч,1.85 кг,noOS
"Ноутбук Lenovo V15 G3 IAP 15.6"" FHD i7/16Gb/512SSD/DOS",92 250 ₽,15.6,512,16 ГБ,10,"Ноутбук, документация, блок питания",,1.7 кг,Без системы
Ноутбук Asus E210MA-GJ365,36 050 ₽,"11.6 """,256 Гб,4,2,Ноутбук - 1 шт,,1.05 кг,DOS
Ноутбук Lenovo ThinkBook 14 G2,102 541 ₽,14,512 Гб,16 ГБ,4,ноутбук,45 Вт-ч,1.4 кг,Win11Pro
"Ноутбук MSI Modern 15 15"" 16Gb/512SSD/DOS(9S7-15H112 -213)",78 540 ₽,15.6,512,16 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.7 кг,Без системы
Ноутбук Acer Aspire 3 A317-54-54BQ Silver,96 620 ₽,17.3,512,16 ГБ,10,"адаптер питания, документация",,3 кг,DOS
Ноутбук Flaptop R Light Grey (FLTP-5R3-8512-w),44 990 ₽,"15,6",512 Гб,8 Гб,4,Блок питания; Инструкция,55.44 Втч,1.87 кг,Windows
ASUS Laptop E210MA-GJ320T,44 600 ₽,11.6 дюйм,128 Гб,4,2,,,1.05 кг,Win 10
Ноутбук Acer Extensa 15 EX215-54-3396,64 040 ₽,"15.6""",256 Гб,8 ГБ,2,"Зарядное устройство, Документация",37 Вт*ч,1.94 кг,Windows 10 Pro
Ноутбук IdeaPad 3 15ALC6,45 149 ₽,15.6,256,8 ГБ,4,"ноутбук, адаптер питания, документация",,1.65 кг,Без ОС
"Ноутбук ASUS ROG Strix G15 (2022) Gaming Laptop, G513RC-IS74",119 900 ₽,15.6,1 тб,16 гб,8,,,,Windows 11 Home
"Ноутбук Huawei MateBook B5-430 14"" i5-1135G7/8/512(53012KFS)",83 040 ₽,14,512,8 ГБ,4,"Ноутбук, блок питания, документация",,1.49 кг,Windows Pro
"Ноутбук Acer Extensa 15 15.6"" Cel/256SSD/W10 (NX.EFTER.016)",35 810 ₽,15.6,256,4 ГБ,2,"Ноутбук, зарядное устройство, документация",,1.9 кг,Windows Home
Ноутбук Aspire A315-56-523A (NX.HS5ER.006),51 990 ₽,"15.6""",512 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,36.7 Втч,1.9 кг,отсутствует
"Ноутбук MSI Modern 14 14"" i5/8Gb/256SSD/DOS(9S7-14J112 -265)",56 630 ₽,14,256,8 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.4 кг,Без системы
"Ноутбук Acer EX215-32-C0EE [NX.EGNER.00P] 15,6/noOS",25 596 ₽,"15,6""",256 Гб,4 ГБ,2,,,,noOS
"Ноутбук Book Pro 16"" 2022 Intel Core i5",132 770 ₽,"16""",512 Гб,16,4,,56 Вт·ч,,Windows 11
"Ноутбук EVE 15 C423 15.6"" Ryzen 5 3500U 8Gb SSD256Gb W11Pro",35 344 ₽,"15.6""",256 гб,8 гб,4,,4000 ма*ч,1.7 кг,Windows
"Ноутбук HP 840 G9/16DDR5/14.0""FHD IPS/Intel Iris Xe/Win11Pro",126 900 ₽,14,512,16,10,"Ноутбук, зарядное устройство, документация",51 Wh,1.7 кг,Windows 11 Pro
Ноутбук Huawei MateBook B3-420 (NDZ-WDH9A),99 000 ₽,"14 (35,56 см)",256 Гб,8 ГБ,2,,,,Windows 10 Pro
MacBook Pro 16/M2 Max/32/1 (Silver),319 191 ₽,"16,2""",1 ТБ,32 ГБ,12,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
Игровой ноутбук Maibenben X757,125 529 ₽,"17.3""",512 Гб,16 ГБ,8,"ноутбук, адаптер питания, документация","46,74 Вт*ч",2.4 кг,Linux
"Ноутбук UX5401EA-KN159W 14"", Intel Core i5-1135G7",101 438 ₽,14,512 Гб,16 ГБ,4,"Ноутбук, зарядное устройство, документация",63 Вт-ч,,Windows 11 Home
Ноутбук Lenovo V15 G2 82KD00CXIX,42 919 ₽,"15.6""",256 Гб,8 ГБ,4,блок питания; кабель питания; документация,38 Вт*ч,1.7 кг,Free DOS
"Ноутбук Legion 5 15,6 FHD IPS/i5-10500H 16/256ГБ/3050 Ti",115 120 ₽,"15,6",256 Гб,16,6,ноутбук; документация; зарядное устройство,60 Вт-ч,2.3 кг,Без системы
"Ноутбук TECNO T1/ i5 16/512GB/15.6""/ Linux/ Denim Blue",41 990 ₽,15.6,512G,16 ГБ,4,,,,Linux
MacBook Pro 16/M2 Pro/16/512 (Space Grey),226 791 ₽,"16,2""",512 ГБ,16 ГБ,12,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
Ноутбук V15-ALC G2 82KD002URU,46 209 ₽,"15.6""",256 Гб,8 ГБ,4,"документация, зарядное устройство",38 Вт*ч,1.6 кг,Windows
"Ноутбук VivoBook 15X 15.6"" 16ГБ 1ТБ M1503QA-L1224",71 612 ₽,15.6,1 Тб,16,8,"Ноутбук, зарядное устройство, документация",42 Вт-ч,1.7 кг,нет
"Ноутбук Acer TravelMate TMP215-52-529S (i5-10210U/8Gb/256Gb SSD/15.6""FHD/UMA/NoOS) NX.VLLER.00G",45 493 ₽,"15.6""",256 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,48 Вт*ч,1.8 кг,Без ОС
Ноутбук Acer Aspire 5 Intel Core i5 Intel Iris Xe Graphics,48 900 ₽,"15,6""",256 Гб,8 ГБ,4,,48 Вт*ч,1.7 кг,Windows 10
"Ноутбук AORUS 17G17.3""i7,RTX3060,DDR4 8Gx2,SSD512G,Win10Home",132 030 ₽,17.3,512,16 ГБ,8,"Ноутбук, документация, блок питания",,2.77 кг,Windows Home
Apple MacBook Pro 16 Z14V0008D (русская клавиатура),261 301 ₽,,512,32,10,macbook pro; Адаптер питания USB‑C мощностью 140 Вт; Кабель USB‑C/MagSafe 3 (2 м); документация,100 Вт/ч,,Mac OS
"Ноутбук LENOVO YGS7-13ACN5, 13"", 8/512GB",57 689 ₽,13,512 Гб,8,8,Руководство пользователя - 1 шт; гарантийный талон -1 шт; Ноутбук - 1 шт; Сетевой адаптер - 1шт,,1.21 кг,Windows 11
"Ноутбук RedmiBook Pro 15"" AMD Ryzen 7",99 842 ₽,"15""",512 Гб,16,8,"зарядное устройство/провод питания, переходник на европейскую розетку, ноутбук",70 Вт⋅ч,,Windows 11 Home
"Ноутбук Apple MacBook Pro 16"", Английская клавиатура",286 994 ₽,16',512 ГБ,16 ГБ,12,,,,macOS
"Ноутбук HP Probook 450 i7-1255U/512SSD/15.6""IPS/DOS(6A2B8EA)",94 900 ₽,15.6,512,16 ГБ,10,"Ноутбук, документация, зарядный блок",,1.74 кг,Без системы
"Ноутбук EVE 15 C423 15.6"" Ryzen 3 3200U 16Gb SSD512Gb W11Pro",36 725 ₽,"15.6""",512 Гб,16 ГБ,2,,4000 мА*ч,1.7 кг,Windows
Ноутбук Lenovo IdeaPad 3 15ALC6 (82RN00AQRK),48 576 ₽,"15.6""",512 Гб,16,6,,,,Windows
"MacBook Pro 14.2""/1ТБ SSD/Silver(2021)",279 900 ₽,14'',1 Тб,16 ГБ,10,,,1.61 кг,macOS
Ноутбук Samsung Galaxy book (NP930XCJ-K01CA),73 990 ₽,"13.3""",256 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,69.7 Втч,0.97 кг,Windows
Ноутбук IRU Калибр 15TLI 1894428,53 956 ₽,"15.6""",256 гб,8 гб,4,ноутбук; зарядное устройство; документация,7200 мАч,1.7 кг,DOS
MacBook Pro 14/M2 Pro/32/1 (Space Grey),281 361 ₽,"14.2""",1 ТБ,32 ГБ,12,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
Ноутбук HIPER EXPERTBOOK 9907LD39,79 855 ₽,"15,6",512 Гб,16 ГБ,6,ноутбук; зарядное устройство; документация,4800 мА*ч,1.7 кг,Без ОС
"Ноутбук Chuwi CoreBook X 14"" IPS 8/256 Gb",32 990 ₽,"14""",256 Гб,8 ГБ,2,,4000 mAh,,Windows
Игровой ноутбук Aorus 15 BSF-73KZ754SH,208 350 ₽,15.6 дюймов,1 Тб,16 ГБ,14,Игровой ноутбук Gigabyte Aorus 15 BSF-73KZ754SH - 1шт; Руководство пользователя - 1шт; Гарантийный талон - 1шт; блок питания - 1шт; Подарочный рюкзак Aorus - 1шт,99 Втч,2.4 кг,Windows 11 Home (x64)
Acer Extensa EX215-52,57 500 ₽,15.6'',128 Гб,4,2 ядра,,,1.7 кг,Без ОС
"Ноутбук HP 15s-fq3045ur 15.6"" F Pen N6000/8Gb/256Gb(5A9G6EA)",46 570 ₽,15.6,256,8 ГБ,4,"Ноутбук, блок питания, документация",,1.69 кг,Windows Home
CHUWI Corebook X 14''2160x1440/i3-10110U/8+256GB/Win11 HOME,33 290 ₽,"14 """,256 Гб,8 ГБ,2 ядер,инструкция - 1шт; гарантиный талон - 1шт; Ноутбук - 1шт; Зарядное устройство- 1шт,4000 mAh,1.5 кг,Windows 11 Home
Ноутбук Lenovo 15ALC6 82KU010KRM,48 329 ₽,"15.6""",512 Гб,8 ГБ,6,"документация, адаптер питания",38 Вт*ч,1.7 кг,Free DOS
MacBook Pro 16 M1 Max/32 ГБ/1 Тб/US,291 992 ₽,"16.2""",1 Тб,32 ГБ,10,документация; ноутбук; адаптер питания,,2.17 кг,macOS
Ноутбук HP 250 G8 FHD IPS/Intel Core i3-1115G4 3ГГц/8Гб DDR4,45 900 ₽,15.6,256 Гб,8,2,,45 Вт*ч,1.6 кг,Windows 10 Home
"Ноутбук ASUS ExpertBook P1 i3/8Gb/256SSD/15.6""FHD/DOS",51 700 ₽,15.6,256,8 ГБ,2,"Ноутбук, зарядное устройство, документация",,1.73 кг,Без системы
"Ноутбук HP ProBook 445 5 5600U/16Gb/512SSD/14""IPS (7B5R1UA)",89 000 ₽,14,512,16 ГБ,6,"Ноутбук, документация, зарядный блок",,1.74 кг,Windows Pro
Ноутбук Acer Extensa 15 EX215-54 (NX.EGJER.006),69 533 ₽,15.6 дюймов,512 Гб,8 Гб,4 ядра,,,,Без ОС
"Ноутбук LENOVO Legion 5 17ITH6H 17"", 8/512GB",91 690 ₽,17,512 Гб,8,6,Руководство пользователя - 1 шт; гарантийный талон -1 шт; Ноутбук - 1 шт; Сетевой адаптер - 1шт,,2.98 кг,Без ОС
"Ноутбук HP ProBook 455 G8 AMD Ryzen 5 5600U/8Gb/SSD256Gb/15.6""/IPS/FHD/Win10Pro/silver",69 673 ₽,15.6,256 Гб,8 ГБ,6,Ноутбук - 1 шт,,1.74 кг,WIN10 Pro
"Ноутбук MagicBook X14 (i3-10110U/8Gb/256Gb SSD/14""FHD/UMA/Win10) 5301AAPL",56 905 ₽,"14""",256 Гб,8 ГБ,2 ядра,ноутбук; зарядное устройство; документация,56 Вт*ч,1.38 кг,Windows 10 Home
Ноутбук HIPER EXPERTBOOK BQ3LVDHQ,73 253 ₽,"15,6",256 Гб,8 ГБ,6,ноутбук; зарядное устройство; документация,4800 мА*ч,1.7 кг,Windows
Ноутбук HP Pavilion 14-dv1005ur/14/i5/16Gb/512Gb [6M869EA],53 696 ₽,"14""",512 Гб,16,4,,,,Windows
"Ноутбук HP Victus 16-d1040ci 16.1""/16 GB [6D8L9EA]",110 805 ₽,"16.1""",1 Тб,16,14,,,,noOS
Ноутбук Acer Aspire 7 Intel Core i5 NVIDIA GeForce GTX 1650,67 300 ₽,"15.6""",512 Гб,16,12,,50 Вт*ч,1.9 кг,Windows 11
Ноутбук Acer Swift X SFX-16-51G (NX.AYLER.001),80 333 ₽,"16.1""",1 Тб,16,4,,,,Windows
"Ноутбук HP 250 G8 Core i3-1005G1/8Gb/SSD256Gb/15.6""/IPS/FHD/Win10/Dar Silver",39 534 ₽,15.6,256 Гб,8,2,Ноутбук - 1 шт,,1.74 кг,Windows 10 Home
Ноутбук ASUS /8Gb/SSD256Gb/Slate Grey/W11 (90NB0TY1-M25400),69 250 ₽,15.6,256,8 ГБ,4,"Ноутбук, блок питания, документация",,1.8 кг,Windows Home
"Ноутбук AORUS 15 15.6"" i7,RTX3070,DDR58GB*2,SSD1TB,Win11Home",162 630 ₽,15.6,1024,16 ГБ,14,"Ноутбук, документация, блок питания",,2.4 кг,Windows Home
"Ноутбук HP ProBook 450 G8 15.6"" i5-1135G7/8Gb/256Gb SSD/DOS",101 330 ₽,15.6,256,8 ГБ,4,"ноутбук, блок питания",,1.74 кг,Без системы
Matebook D15 53013PAB Win11,52 779 ₽,"15.6""",512 Гб,8 ГБ,4,блок питания; кабель питания; документация,42 Wh,1.56 кг,Windows
"Ноутбук ASUS K513EA Intel Core i5-1135G/512Gb/15.6""FHD/Win11",70 000 ₽,15.6,512,8,4,"Ноутбук, зарядное устройство, документация",42 Wh,2 кг,Windows 11 Home
"Ноутбук Acer Extensa 15 EX215-31-P4MN Pentium Silver N5030 8Gb SSD256Gb Intel UHD Graphics 605 15.6""",44 805 ₽,"15,6 """,256 Гб,8,4 ядра,зарядное устройство; документация; ноутбук,36 Вт*ч; 4810 мА*ч,1.9 кг,Windows 10 Home Single Language
Ноутбук Lenovo Legion 5 Pro 16ARH7H (82RG00HERK),132 634 ₽,"16""",1 Тб,16,8,,,,noOS
Ноутбуки ACER Extensa EX215-31-P6NR (NX.,38 800 ₽,15,256 гб,4 гб,2,,,2 кг,Win11
"Ноутбук Lenovo 512SSD/14.0""IPS/Win11 (82FE00UGUS)",65 000 ₽,14,512,8 ГБ,4,"Ноутбук, документация, зарядный блок",,1.38 кг,Windows Home
"Ноутбук ACER Aspire 5 A515-45 15"" 16GB 512GB, серебристый",45 761 ₽,"15.6""",512 Гб,16,4,Ноутбук - 1шт.; Блок питания - 1шт.; Гарантийный талон - 1шт.; руководство пользователя - 1шт.,,1.76 кг,Без системы
Ноутбук Lenovo Legion 5 15IAH7H (82RB00PERK),124 251 ₽,"15.6""",1 Тб,16,14,,,,noOS
Ноутбук Acer Nitro 5 AN515-46 (NH.QGZER.009),95 130 ₽,"15.6""",1 Тб,16,8,,,,noOS
"Ноутбук Acer Aspire 3 A314-22-A7K7 14""",29 990 ₽,14,128 гб,4 гб,2,,,,Без ОС
"Ноутбук 17"" Acer Aspire3 Core i3-1115G4 3.0ГГц 8ГБ SSD 256ГБ",47 990 ₽,17.3,256 Гб,8,2,"ноутбук, адаптер питания, документация",3320 мАч,2.6 кг,DOS
"Ноутбук MSI Alpha 15 Ryzen 5 5600H/8Gb/SSD512Gb/RX6600M 8GB/15.6""/IPS/FHD/Win10black",156 729 ₽,15.6,512 Гб,8 ГБ,6,Ноутбук - 1 шт,,2.35 кг,Windows 10 Home
"Ноутбук AZ-1504 15.6""/8Gb/256Gb",20 900 ₽,"15.6""",256 Гб,8 ГБ,4 ядра,Блок питания - 1; Ноутбук - 1,3600 mAh,1.9 кг,Windows 10 Pro
"Ноутбук TECNO MEGABOOK T1/ i5 16/512GB/15.6""/Win 11",44 990 ₽,15.6,512G,16 ГБ,4,,"3-элементный, 70 Вт·ч",,Windows 11 Home
Ноутбук Lenovo IdeaPad 3 15IAU7 (82RK00EYRK),42 139 ₽,"15.6""",512 Гб,8,6,,,,noOS
Ноутбук Hiper Workbook A1568K,46 608 ₽,"15.6""",512 Гб,8 ГБ,4,"ноутбук, блок питания, документация",3350 мА*ч,1.5 кг,Без ОС
"Ноутбук MagicBook X14 14""FHD i3-10110U/8Gb/256Gb SSD/Win10",56 882 ₽,"14""",256 Гб,8 ГБ,2 ядра,,56 Вт*ч,,Windows 10 Home
"Ноутбук HONOR MagicBook 5301AAQW 8/256 GB, серебристый",45 990 ₽,14,256 Гб,8,6,Ноутбук - 1шт.; ЗУ - 1шт.; Гарантийный талон - 1шт.; Инструкция - 1шт.,,1.38 кг,Windows
Игровой ноутбук TUF F15 15.6'' i5 10300H 16/512 ГБ GTX 1650,78 960 ₽,15.6,512 Гб,16,4,документация; адаптер питания; ноутбук,48 Вт⋅ч,2.3 кг,Без операционной системы
"Xiaomi Pro RedmiBook, 14"", IPS, AMD R7 5825U, 16ГБ, 512ГБ",84 990 ₽,"14""",512 гб,16 ГБ,8-ядерный,Переходник - 1шт; блок питания- 1шт; кабель -1шт; документация- 1шт; ноутбук-1шт,56 Wh,1.42 кг,Windows 10 trial (для ознакомления)
Ноутбук Asus Zenbook UM425QA-KI230 [90NB0TV1-M00A50],68 461 ₽,"14""",512 Гб,16,8,,,,noOS
Ноутбук Acer Aspire 7 A715-51G (NH.QGDER.004),81 990 ₽,"15.6""",512 Гб,16,4,,,,noOS
Ноутбук Asus X515EA-BQ970 [90NB0TY2-M02ZN0],42 795 ₽,"15.6""",512 Гб,16,4,,,,noOS
Ноутбук Extensa EX215-52-36B9,41 969 ₽,"15.6""",512 Гб,8 ГБ,2,,,1.9 кг,Windows
Ноутбук Asus ExpertBook B5302CEA-KG0630X,70 290 ₽,"13.3""",512 Гб,16,4,,66Вт*ч,1.2 кг,Windows
"Ноутбук ACER Aspire 5 A515-45 15"" 16GB/1TB, серебристый",62 031 ₽,"15.6""",1000 Гб,16,8,Ноутбук - 1шт.; Блок питания - 1шт.; Гарантийный талон - 1шт.; руководство пользователя - 1шт.,,1.76 кг,Без системы
Ноутбук Samsung Galaxy Book i5/8/256/15.6(NP750XDA-KD1US),64 900 ₽,15.6,256,8 ГБ,4,"Ноутбук, блок питания, документация",,1.55 кг,Windows Pro
Ноутбук ROG Zephyrus G14 GA402RJ-L4125W Eclipse Grey,154 440 ₽,"14""",512 Гб,16,8,блок питания; аккумулятор; инструкция,76 Втч,1.65 кг,Windows 11
"Ноутбук Apple MacBook Pro 13.3"", Российская клавиатура",144 655 ₽,13.3,512 ГБ,8 ГБ,8,"Apple 13-inch MacBook Pro, Адаптер питания USB-C мощностью 67 Вт, Кабель USB-C для зарядки (2 м)",,,macOS
Ноутбук Acer Swift 1 SF114-34 P82SUW1 (NX.A9UER.008),35 685 ₽,"14""",256 Гб,8,4,,,,Windows
"Ноутбук Lenovo Legion 5 17.3""i5/16/1TB/RTX3060 6(82JM0022RM)",169 170 ₽,17.3,1000,16 ГБ,6,"Ноутбук, блок питания, документация",,2.98 кг,Без системы
